typo,perbaikan
abgny,abangnya
abis,habis
ad,ada
adek,adik
adik2,adik-adik
adik2ku,adik-adikku
adikny,adiknya
adiknyah,adiknya
adiku,adikku
adikya,adiknya
adilanya,adilannya
adill,adil
adknya,adiknya
adl,adalah
adlah,adalah
adlh,adalah
adminirtrasi,administrasi
administarasi,administrasi
administasi,administrasi
administrai,administrasi
administratror,administrator
admistrasi,administrasi
admnistrasi,administrasi
adnak,anak
advoksi,advokasi
adyminitrasi,administrasi
aeperti,seperti
afdapun,adapun
afimasi,afirmasi
aga,agak
agma,agama
agr,agar
ah0k,ahok
aj,saja
aja,saja
ajah,saja
ajalah,saja
aje,saja
ajh,saja
ak,aku
akhirmya,akhirnya
akhirna,akhirnya
akhirny,akhirnya
akhirya,akhirnya
akhr,akhir
akhrnya,akhirnya
akhry,akhirnya
akhrya,akhirnya
akiba,akibat
akibar,akibat
akibatx,akibat
akibt,akibat
akihrnya,akhirnya
akir2,akhir
akirnya,akhirnya
akitf,aktif
akn,akan
akomodir,akomodasi
akrditasi,akreditasi
akreditas,akreditasi
akrena,karena
akt,akta
akte,akta
aktenya,aktanya
akter,akta
akternatif,alternatif
aktifasi,aktivasi
aktifasinya,aktivasinya
aktifias,aktivitas
aktifis,aktivis
aktifitas,aktivitas
aktifitaspengerjaan,aktivitas pengerjaan
aktiftas,aktivitas
aktip,aktif
aktipitas,aktivitas
aktivsi,aktivasi
aku,saya
alaasn,alasan
alalamat,alamat
alama,alamat
alamaku,alamatku
alamamat,alamat
alamatna,alamatnya
alamatny,alamatnya
alamt,alamat
alamtnya,alamatnya
alanat,alamatnya
alangakah,alangkah
alangka,alangkah
alasa,alasan
alasaan,alasan
alasaannya,alasannya
alasane,alasan
alasanx,alasan
alasanya,alasannya
alasanyajl,alasannya
alasn,alasan
alasnya,alasannya
alassan,alasan
alassannm,alasan
alatm,alat
alesan,alasan
almamat,alamat
almarhm,almarhum
almarhumah,almarhum
almat,alamat
almh,almarhum
almhum,almarhum
almt,alamat
almta,alamat
almtny,alamatnya
almtnya,alamatnya
almtx,alamat
alngkah,alangkah
alnjutnya,selanjutnya
alon2,calon
alsan,alasan
alsannya,alasannya
alsanx,alasan
alsn,alasan
alsnnya,alasannya
alsnya,alasannya
alumnium,aluminium
ambilny,ambilnya
ambily,ambilnya
ambl,ambil
amblnya,ambilnya
ambuk,ambruk
ambulan,ambulans
ambulancea,ambulans
amen,amen
amengalami,mengalami
america,amerika
amet,sangat
amiin,amin
ampai,sampai
ampe,sampai
amplopmya,amplopnya
ancur,hancur
ane,saya
anget,hangat
anakx,anak
anaky,anaknya
anakya,anaknya
angg0ta,anggota
anggkot,angkot
anggotta,anggota
anggp,anggap
anggt,anggota
anggta,anggota
angkmutan,angkutan
angkor,angkot
angkots,angkot
angkt,angkota
angktn,angkutan
angktnya,angkutannya
angkuatn,angkutan
angkutam,angkutan
angkutn,angkutan
angrn,anggaran
anjurn,anjuran
anknya,anak
ankot,angkot
anku,anakku
antr,antara
antra,antara
antran,antiran
antre,antri
antrean,antrian
antreannya,antriannya
antrenya,antrinya
ap,apa
apabula,apabila
apadahal,padahal
apah,apa
apahkah,apakah
apain,apakan
apak,apa
apaka,apakah
apakaah,apakah
apakaha,apakah
apakahh,apakah
apakakah,apakah
apakh,apakah
apalagiq,apalagi
apalagir,apalagi
apalagmi,apalagi
apalg,apalagi
apalgi,apalagi
apap,apapun
apapu,apapun
aparatny,aparatnya
aparaty,aparatnya
apartemen2,apartemen
apartement,apartemen
apartemet,apartemen
apartmen,apartemen
apartment,apartemen
apartrment,apartemen
apatkanya,dapatkannya
apbila,apabila
apbla,apabila
apdahal,padahal
aperatur,aparatur
aperhatikan,perhatikan
apk,apakah
apka,apakah
apkah,apakah
apkh,apakah
aplg,apalagi
aplgi,apalagi
apo,apa
aporan,laporan
apotik,apotek
apotiknya,apoteknya
apotk,apotek
appa,apa
appun,apapun
aprarat,aparat
aprat,aparat
apratur,aparatur
apresia,apresiasi
apresiai,apresiasi
apresinya,apresiasinya
aprl,april
aprt,aparatur
aprtemen,apartemen
apsen,absen
aq,saya
aqar,agar
araha,arahan
arahn,arahan
argument,argumen
arh,arah
asangat,sangat
asesor,aksesoris
asesoris,aksesoris
asesorisnya,aksesorisnya
asetiap,setiap
asik,asyik
asikin,asyik
asliya,aslinya
asosoris,aksesoris
aspxsetelah,setelah
asset,aset
assetnya,asetnya
ataau,atau
asek,asik
ati2,hati-hati
atit,sakit
ato,atau
atu,atau
atw,atau
ayang,sayang
ayuk,ayo
bae,baik
bagaimmana,bagaimana
bagaimn,bagaimana
bagaimna,bagaimana
bagaina,bagaimana
bagamaina,bagaimana
bagaman,bagaimana
bagamana,bagaimana
bagamna,bagaimana
bagay,bagaimana
bagaymana,bagaimana
bagaymna,bagaimana
bagi2,bagi-bagi
bagi2x,bagi-bagi
bagiat,bagian
bgian,bagian
bagika,bagikan
bagikn,bagikan
bagiman,bagaimana
bagimana,bagaimana
bagimna,bagaimana
baginy,baginya
bags,bagus
baguaimana,bagaimana
bagunan,bangunan
bagus2,bagus-bagus
bahkan0,bahkan
bahklan,bahkan
bahkn,bahkan
bahua,bahwa
bahw,bahwa
bahwah,bahwa
baimana,bagaimana
bakalan,akan
balekkn,kembalikan
bales,balas
balikan,balikkan
banget,sekali
bangett,sangat
bany,banyak
banyakin,perbanyak
banya,banyak
banyk,banyak
banyaak,banyak
barengan,bersamaan
baso,bakso
bcs,bisa
bct,bicara
bdan,badan
bdg,bandung
bdn,badan
becanda,bercanda
bedua,berdua
bego,goblok
bekel,bekal
belom,belum
belon,belum
bener,benar
bener2,benar-benar
beneran,benar
berantem,bertengkar
berenti,berhenti
bete,sebal
bg,bagi
bgd,sangat
bget,sangat
bgi,bagi
bgini,begini
bgitu,begitu
bgks,bungkus
bgm,bagaimana
bgmn,bagaimana
bgn,bangun
bgt,sangat
bgtu,begitu
bgus,bagus
bhn,bahan
bhs,bahas
bhw,bahwa
bhwa,bahwa
bhy,bahaya
bj,baju
bju,baju
bk,buku
bkan,bukan
bkin,bikin
bkl,bakal
bkn,bukan
bkr,bakar
bks,bungkus
bl,beli
blajar,belajar
blg,bilang
blh,boleh
bli,beli
blik,balik
bljr,belajar
blk,balik
blkg,belakang
blkng,belakang
blkang,belakang
blkngny,belakangnya
blm,belum
bln,bulan
blng,bilang
blngn,bilang
blom,belum
bls,balas
blum,belum
bndg,bandung
bndr,bandar
bner,benar
bneran,benar
bnget,sangat
bngks,bungkus
bngng,bingung
bngt,sangat
bngun,bangun
bnr,benar
bnrbnr,benar-benar
bnrn,benar
bntar,sebentar
bntr,sebentar
bnyak,banyak
bnyk,banyak
bnykny,banyaknya
bobo,tidur
bobok,tidur
bokap,ayah
bole,boleh
boong,bohong
bosen,bosan
bpk,bapak
br,baru
brangkat,berangkat
brani,berani
brapa,berapa
brarti,berarti
bras,beras
brasa,berasa
brg,barang
brgkt,berangkat
brhsl,berhasil
brjln,berjalan
brkfst,breakfast
brkt,berangkat
brmslh,bermasalah
brngkt,berangkat
brp,berapa
brpa,berapa
brrti,berarti
brs,beres
brshbt,bersahabat
brsm,bersama
brthn,bertahan
brtmn,berteman
brtny,bertanya
bru,baru
bs,bisa
bsa,bisa
bsk,besok
bsok,besok
bsr,besar
btg,batang
bth,butuh
btl,betul
btul,betul
buad,buat
buatin,buatkan
bw,bawa
bwa,bawa
bwh,bawah
bwt,buat
byk,banyak
bynk,banyak
byr,bayar
cakep,cakap
cape,capai
capek,capai
cb,coba
cepet,cepat
cewe,cewek
ckp,cukup
ckrg,sekarang
ckup,cukup
cm,cuma
cma,cuma
cman,hanya
cmn,hanya
cmpk,cempaka
cowo,cowok
cpat,cepat
cpet,cepat
cpt,cepat
cptn,cepatan
cra,cara
crt,cerita
cth,contoh
cuman,hanya
cw,cewek
cwe,cewek
cwo,cowok
d,di
dah,sudah
dalem,dalam
dalm,dalam
dapet,dapat
dapetin,mendapatkan
dateng,datang
dblg,dibilang
dblkng,dibelakang
dbls,dibalas
dbwt,dibuat
dbyr,dibayar
denger,dengar
dftr,daftar
dg,dengan
dgan,dengan
dgn,dengan
dgr,dengar
dksh,dikasih
dkt,dekat
dl,dulu
dlm,dalam
dlrng,dilarang
dlu,dulu
dluan,duluan
dmana,dimana
dmkn,dimakan
dmn,dimana
dmna,dimana
dmnmn,dimana-mana
dmny,dimananya
dn,dan
dng,dengan
dngan,dengan
dngar,dengar
dnger,dengar
dngerin,dengar
dngn,dengan
dngr,dengar
doang,saja
doank,saja
donlot,download
doyan,suka
dpan,depan
dpet,dapat
dpk,depok
dpkrkn,dipikirkan
dpn,depan
dtg,datang
dtgny,datangnya
dtmbh,ditambah
elo,kamu
emang,memang
emangnya,memangnya
emank,memang
emg,memang
emng,memang
engga,tidak
enggak,tidak
enk,enak
entar,nanti
ente,anda
faham,paham
fb,facebook
g,tidak
ga,tidak
gbr,gambar
gdg,gudang
gembel,jelek
gilak,gila
gile,gila
gitu,begitu
gituan,begitu
gituh,begitu
gk,tidak
gmana,bagaimana
gmbr,gambar
gmn,bagaimana
gmna,bagaimana
gmpg,gampang
gmpng,gampang
gratisan,gratis
gt,begitu
gtu,begitu
hbs,habis
hbskn,habiskan
hlang,hilang
hlg,hilang
hlm,halaman
hlmn,halaman
hny,hanya
hnya,hanya
hr,hari
hrap,harap
hrg,harga
hrgny,harganya
hri,hari
hrp,harap
hrs,harus
hrsny,harusnya
hrus,harus
hti,hati
hy,hai
iansia,lansia
idup,hidup
ilang,hilang
inget,ingat
ingetin,ingatkan
ingt,ingat
isteri,istri
istrht,istirahat
it,itu
item,hitam
itumah,itu
iy,iya
iyoo,iya
jadiin,jadi
